Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-17 10:51:25.553718,,,,
1744909491.214264,39.0187191,-104.8935603,2158.41,1.698,205.68,DiscoStates.ALTITUDE_CONTROL
1744909491.2553828,39.0187191,-104.8935603,2158.41,1.698,205.68,DiscoStates.ALTITUDE_CONTROL
1744909491.2762647,39.0187192,-104.8935605,2158.42,1.707,205.64,DiscoStates.ALTITUDE_CONTROL
1744909491.2971003,39.0187192,-104.8935605,2158.42,1.707,205.64,DiscoStates.ALTITUDE_CONTROL
1744909491.3177187,39.0187193,-104.8935606,2158.41,1.698,205.61,DiscoStates.ALTITUDE_CONTROL
1744909491.33843,39.0187193,-104.8935606,2158.41,1.698,205.61,DiscoStates.ALTITUDE_CONTROL
1744909491.3794057,39.0187193,-104.8935606,2158.41,1.698,205.61,DiscoStates.ALTITUDE_CONTROL
1744909491.4003055,39.0187193,-104.8935608,2158.42,1.708,205.55,DiscoStates.ALTITUDE_CONTROL
1744909491.4211445,39.0187193,-104.8935608,2158.42,1.708,205.55,DiscoStates.ALTITUDE_CONTROL
1744909491.4623475,39.0187193,-104.8935608,2158.42,1.708,205.55,DiscoStates.ALTITUDE_CONTROL
1744909491.4830287,39.0187193,-104.8935609,2158.43,1.718,205.5,DiscoStates.ALTITUDE_CONTROL
1744909491.5037727,39.0187193,-104.8935609,2158.43,1.718,205.5,DiscoStates.ALTITUDE_CONTROL
1744909491.5450687,39.0187193,-104.8935609,2158.43,1.718,205.5,DiscoStates.ALTITUDE_CONTROL
1744909491.5657468,39.0187194,-104.893561,2158.44,1.726,205.47,DiscoStates.ALTITUDE_CONTROL
1744909491.5864234,39.0187194,-104.893561,2158.44,1.726,205.47,DiscoStates.ALTITUDE_CONTROL
1744909491.6072083,39.0187195,-104.893561,2158.45,1.737,205.4,DiscoStates.ALTITUDE_CONTROL
1744909491.6279714,39.0187195,-104.893561,2158.45,1.737,205.4,DiscoStates.ALTITUDE_CONTROL
1744909491.669158,39.0187195,-104.893561,2158.45,1.737,205.4,DiscoStates.ALTITUDE_CONTROL
1744909491.7102985,39.0187195,-104.893561,2158.45,1.737,205.4,DiscoStates.ALTITUDE_CONTROL
1744909491.7310436,39.0187196,-104.8935612,2158.46,1.745,205.34,DiscoStates.ALTITUDE_CONTROL
1744909491.7517402,39.0187196,-104.8935612,2158.46,1.745,205.34,DiscoStates.ALTITUDE_CONTROL
1744909491.772496,39.0187195,-104.8935613,2158.49,1.777,205.26,DiscoStates.ALTITUDE_CONTROL
1744909491.7932127,39.0187195,-104.8935613,2158.49,1.777,205.26,DiscoStates.ALTITUDE_CONTROL
1744909491.8344624,39.0187195,-104.8935613,2158.49,1.777,205.26,DiscoStates.ALTITUDE_CONTROL
1744909491.855143,39.0187195,-104.8935614,2158.53,1.818,205.19,DiscoStates.ALTITUDE_CONTROL
1744909491.8760202,39.0187195,-104.8935614,2158.53,1.818,205.19,DiscoStates.ALTITUDE_CONTROL
1744909491.9173243,39.0187195,-104.8935614,2158.53,1.818,205.19,DiscoStates.ALTITUDE_CONTROL
BREAK,2025-04-17 11:11:20.507891,,,,,
1744909883.9768443,39.0187117,-104.8935639,2155.42,-1.047,196.18,DiscoStates.LOCATE
1744909884.038708,39.0187117,-104.8935639,2155.42,-1.047,196.18,DiscoStates.LOCATE
1744909884.0595937,39.0187118,-104.8935638,2155.4,-1.068,196.1,DiscoStates.LOCATE
1744909884.0802736,39.0187118,-104.8935638,2155.4,-1.068,196.1,DiscoStates.LOCATE
1744909884.131783,39.0187118,-104.8935638,2155.4,-1.068,196.1,DiscoStates.LOCATE
1744909884.1831787,39.0187118,-104.8935638,2155.4,-1.068,196.1,DiscoStates.LOCATE
1744909884.2039146,39.0187121,-104.8935636,2155.32,-1.144,195.96,DiscoStates.LOCATE
1744909884.2450674,39.0187121,-104.8935636,2155.32,-1.144,195.96,DiscoStates.LOCATE
1744909884.2658331,39.0187121,-104.8935636,2155.32,-1.144,195.96,DiscoStates.LOCATE
