Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131744.490831,39.0186678,-104.8930982,2180.24,15.153,147.9
1732131744.5457034,39.0186609,-104.8930868,2180.84,15.757,150.66
1732131745.500947,39.0186609,-104.8930868,2180.84,15.757,150.66
1732131745.5489285,39.0186563,-104.8930803,2181.24,16.155,154.26
1732131746.5234907,39.0186563,-104.8930803,2181.24,16.155,154.26
1732131746.5671332,39.0186551,-104.8930773,2181.69,16.606,158.01
1732131747.5089347,39.0186551,-104.8930773,2181.69,16.606,158.01
1732131747.6026986,39.0186552,-104.893077,2182.26,17.179,161.47
1732131748.5320141,39.0186552,-104.893077,2182.26,17.179,161.47
1732131748.625477,39.0186607,-104.893079,2182.71,17.628,164.61
1732131749.5279326,39.0186607,-104.893079,2182.71,17.628,164.61
1732131749.6272283,39.0186668,-104.8930812,2182.84,17.755,167.35
1732131750.5480716,39.0186668,-104.8930812,2182.84,17.755,167.35
1732131750.6407745,39.0186746,-104.8930835,2182.84,17.751,171.68
1732131751.5549083,39.0186746,-104.8930835,2182.84,17.751,171.68
1732131751.6549962,39.0186835,-104.8930859,2182.89,17.803,174.49
1732131752.5777452,39.0186835,-104.8930859,2182.89,17.803,174.49
1732131752.6734433,39.018657,-104.893084,2182.75,17.661,172.52
1732131753.5860944,39.018657,-104.893084,2182.75,17.661,172.52
1732131753.7059739,39.0185703,-104.8930797,2182.94,17.859,178.04
1732131754.5928748,39.0185703,-104.8930797,2182.94,17.859,178.04
1732131754.7136092,39.0184507,-104.8930849,2183.16,18.07,187.43
1732131755.6106837,39.0184507,-104.8930849,2183.16,18.07,187.43
1732131755.7173107,39.0183196,-104.8931011,2184.13,19.044,191.41
1732131756.599954,39.0183196,-104.8931011,2184.13,19.044,191.41
1732131756.7302036,39.0182273,-104.8931121,2184.16,19.071,194.77
1732131757.632537,39.0182273,-104.8931121,2184.16,19.071,194.77
1732131757.7357397,39.0181591,-104.8931242,2183.99,18.901,190.53
1732131758.6511762,39.0181591,-104.8931242,2183.99,18.901,190.53
1732131758.769006,39.0181074,-104.8931434,2184.76,19.672,196.03
